Target Keyword,Associated Keywords,月搜索量,KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit,page_id,cluster_id,page_role,content_angle,psych_safety_flag,journal_prompts,target_keyword_zh,author
seo for saas startups,"saas startup seo, seo for early stage saas, seo strategy for saas startup, saas startup seo guide",250,3,Informational,T2,Guide,SaaS Startup SEO / Early-Stage SEO Strategy,Pre-revenue SaaS founders skip SEO because most startup guides assume existing domain authority and a content team that zero-DA single-founder startups simply don't have.,"SERP contains omnius.so's 'everything you need to know' guide and growdigitalcareer's '0 to 100K monthly traffic roadmap' — the most relevant results. Both guides assume some initial content infrastructure and consistent publishing schedules that imply a content team. The poweredbysearch result focuses on 'best SEO agencies for startups' — a service page rather than a DIY framework. The genuine zero-DA + one-person + pre-PMF constraint set is not addressed by any result: even budget-focused guides still assume the founder has chosen a domain, set up GSC, and has time to publish weekly. A framework starting from Day 1 zero DA with a 5-hours-per-week ceiling gives pre-revenue SaaS founders a tractable path that no current SERP result provides.",免费试用,,已发布,/blog/seo-for-saas-startups,,PG-SFS-004,seo_for_saas,Series,"SaaS startup SEO from zero: Day 1 playbook for zero-DA founders with 5 hours/week — the constraint set omnius.so and growdigitalcareer guides assume away | Gap_Reason: SERP guides (omnius.so, growdigitalcareer 0-to-100K) assume some content infrastructure; zero-DA single-founder constraint set is unaddressed by any result. | Aligned: Yes",N,,SaaS创业公司SEO,Sarah Kim
ethical seo,"ethical seo company, ethical seo services, white hat seo, ethical seo practices, ethical digital marketing",900,5,Informational,T2,Guide + Brand,Ethical SEO / White-Hat SEO Methodology,Business owners conflate ethical SEO marketing claims with verifiable white-hat practice because no SERP result defines evaluation criteria for distinguishing genuine ethical methodology from self-declaration.,"SERP returns definition pages (Matomo, atroposdigital, canyoufindmenow) and agency service pages (ethicalseo.io, ethicalseoconsulting.com, BruceClay). BruceClay has a 'code of ethics' page — the closest to a verifiable standard. All definition content converges on the same answer: ethical SEO = following Google's guidelines = white-hat SEO. No page defines what verifiable methodology evidence a buyer could request from an agency to confirm their ethical claim — no checklist of practices to request, no questions to ask, no red flags to identify. Buyers who've been burned by penalty-triggering agencies calling themselves 'ethical' need a verification framework, not another definition. A page translating 'ethical SEO' into specific buyer-facing verification criteria converts the highest-value segment — buyers actively trying to avoid a repeat bad experience.",免费咨询,,已发布,/blog/ethical-seo,,PG-EOS-001,ethical_organic_seo,Pillar,"Ethical SEO verification criteria: what to ask any agency to confirm their white-hat claim — the buyer-facing framework BruceClay's code of ethics and every definition page omit | Gap_Reason: All SERP results define ethical SEO as 'following Google guidelines' (Matomo, atroposdigital, BruceClay); none provide buyer-facing verification criteria for evaluating an agency's ethical claim. | Aligned: Yes",N,,道德SEO,Sarah Kim
organic seo services,"organic seo service, best organic seo services, organic seo company, organic search services, organic seo agency",2200,1,Commercial,T1,Landing + Comparison,Organic SEO Services / White-Hat SEO Agency,Marketing directors overlook organic SEO because agency pages list deliverables instead of modeling the ROI compounding curve that beats paid search by year two.,"SERP is entirely agency service pages and agency list posts (embarque.io, smartsites, softtrix, seoprofy) — none model the organic SEO ROI trajectory versus paid search over 24 months. Percepture's 'Organic SEO Services: Costs, Benefits & What's Included' comes closest to an educational resource but focuses on deliverable descriptions rather than ROI modeling. The compounding vs linear return comparison between organic SEO and paid search is the most compelling economic argument for organic investment, yet no page in the SERP makes this calculation explicit. Marketing directors comparing budget allocation compare month-1 organic traffic against month-1 paid traffic and systematically underallocate to organic at exactly the wrong time. A page with a transparent 24-month ROI comparison model converts buyers who are evaluating channels rather than committed to paid search.",免费咨询,,已发布,/blog/organic-seo-services,,PG-EOS-002,ethical_organic_seo,Series,"Organic SEO vs paid search: the 24-month ROI compounding model that no agency service page in SERP shows — why organic underperforms in month 1 and outperforms by year 2 | Gap_Reason: SERP is entirely agency service pages and 'best agency' lists (embarque, smartsites, seoprofy); none model the ROI compounding curve that justifies organic over paid. | Aligned: Yes",N,,自然SEO服务,Sarah Kim
cost effective seo services,"affordable seo services, cheap but effective seo services, value seo services, seo services pricing",600,9,Commercial,T2,Comparison + Pricing,Cost-Effective SEO / SEO ROI Framework,Small business owners conflate affordable SEO with cost-effective SEO because providers define packages by activity volume rather than outcome metrics like cost per ranking gained.,"SERP returns affordable SEO agency lists (seoprofy, thryv, mozwebmedia) and agency service pages defining packages by price range ($300-$2000/month) and deliverable counts — none define what makes a service cost-effective relative to actual ranking or traffic outcomes. The implicit assumption across all results is that cheaper = less capable, framing the buyer decision as 'how much quality am I willing to sacrifice for price' rather than 'which provider delivers the best outcome per dollar.' No result benchmarks providers on cost per ranking position gained or cost per organic lead delivered. A page that redefines cost-effectiveness as outcome-per-dollar and benchmarks providers on that metric converts comparison-stage buyers who have received multiple agency quotes and cannot evaluate them on merit.",免费咨询,,已发布,/blog/cost-effective-seo-services,,PG-EOS-003,ethical_organic_seo,Support,"Cost-effective SEO: how to calculate cost per ranking gained and cost per organic lead — the outcome-based evaluation framework missing from every SERP result | Gap_Reason: All SERP results (seoprofy, thryv, mozwebmedia) define packages by activity volume and price range; none define cost-effectiveness in outcome-per-dollar terms buyers can apply to compare quotes. | Aligned: Yes",N,,高性价比SEO服务,Alex Chen
best ai seo tools,"ai seo tool, top ai seo tools, ai seo software, best ai for seo, ai powered seo tools",1800,13,Commercial,T1,Comparison + Guide,AI SEO Tool / AI-Powered SEO Platform,SEO managers conflate AI content tools with genuine SEO automation because comparison posts test AI writing quality rather than which workflow steps are fully automated.,"SERP contains multiple 2026 tested comparison posts (rankability tested 13, whatagraph tested 13, onelittleweb 15 best, behindrankings tested 20+). All evaluate tools on AI content optimization quality — Rankability, Surfer, Clearscope — testing keyword density, topical coverage, and readability score. The category 'best AI SEO tools' in SERP has become synonymous with 'best AI content writing/optimization tools' — rank monitoring automation, audit automation, and reporting automation are entirely absent from comparison criteria. A buyer searching for AI tools to automate their SEO workflow beyond content writing finds only content optimization comparisons. A comparison framework testing AI SEO tools across the full workflow — audit, content, rank monitoring, reporting, and technical fixes — captures the buyer segment that all current SERP content fails to serve.",免费试用,,已发布,/blog/best-ai-seo-tools,,PG-AIS-001,ai_seo_automation,Pillar,"AI SEO tools compared across the full workflow — audit automation, rank monitoring, reporting, and content — not just AI writing quality as all 2026 SERP comparison posts do | Gap_Reason: All 2026 tested comparison posts (rankability, whatagraph, onelittleweb, behindrankings) evaluate AI writing/content optimization only; workflow automation outside content is absent from all comparison criteria. | Aligned: Yes",N,,最佳AI SEO工具,Marcus Lee
seo automation,"automated seo, seo process automation, seo workflow automation, automate seo, seo task automation",2600,0,Informational,T1,Guide,SEO Automation / SEO Workflow Automation,SEO leads overlook automation ROI because comparison posts list automatable tasks without modeling hours saved per task or cost-per-client impact across a multi-client workflow.,"SERP returns siteimprove's 'what is SEO automation' definition piece, SearchAtlas OTTO (vendor positioning as the most automated SEO platform that 'executes tasks directly'), marketermilk (13 best tools), and two eesel.ai comparison posts. SearchAtlas OTTO represents the most genuinely automated platform — the vendor content is the strongest signal of what full automation looks like. All comparison posts list 13-19 automation tools by category without modeling time savings at the task level. No result answers 'if I automate rank monitoring, how many hours does that save me per client per month' — the calculation that would justify automation investment to a capacity-constrained agency owner. A workflow-level time savings breakdown that quantifies ROI at each automatable SEO task converts agency owners who are aware of automation but haven't calculated whether tool cost is justified.",免费试用,,已发布,/blog/seo-automation,,PG-AIS-002,ai_seo_automation,Series,"SEO automation ROI by task: hours saved per month for rank monitoring, audit, reporting, and content gap analysis — the quantification no comparison post in SERP provides | Gap_Reason: SERP has tool lists (marketermilk 13 best, eesel.ai comparisons) and SearchAtlas OTTO vendor content; none quantify time savings per task or model cost savings per client per month. | Aligned: Yes",N,,SEO自动化,Marcus Lee
all in one seo,"all in one seo tool, all in one seo platform, integrated seo platform, best all in one seo, seo all in one",1500,8,Commercial,T1,Comparison + Landing,All-in-One SEO Platform / Integrated SEO Tool,Agency and SaaS buyers overlook all-in-one SEO platforms because the keyword is dominated by AIOSEO's WordPress plugin results rather than multi-client platform comparisons.,"SERP is dominated by AIOSEO — All in One SEO — a specific WordPress plugin brand (Chrome Web Store extension, WordPress.org plugin page, aioseo.com homepage, Trustpilot reviews for aioseo.com). The search term 'all in one seo' has been captured by the AIOSEO brand, so agency buyers and SaaS companies searching for a comprehensive SEO platform encounter a WordPress-specific product. The non-WordPress agency and SaaS use case — wanting one platform for rank tracking, technical audit, reporting, and content gap analysis — is essentially absent from SERP results. A comparison page framing 'all-in-one SEO platform' specifically for non-WordPress agency and SaaS buyers captures a segment currently failing to find relevant comparison content in search.",免费试用,,已发布,/blog/all-in-one-seo,,PG-AIS-003,ai_seo_automation,Series,"All-in-one SEO platforms for agencies and SaaS — not WordPress plugins: the non-AIOSEO comparison that doesn't exist in SERP | Gap_Reason: SERP dominated by AIOSEO WordPress plugin (chrome extension, wordpress.org, aioseo.com homepage, Trustpilot); non-WordPress agency/SaaS all-in-one platform comparison is entirely absent. | Aligned: Yes",N,,一站式SEO平台,Marcus Lee
seo audit checklist,"technical seo audit checklist, seo website audit checklist, full seo audit checklist, site audit checklist, seo checklist 2026",3100,0,Informational,T1,Checklist + Tool,SEO Audit Checklist / Technical SEO Checklist,SEO practitioners overlook audit execution priority because every published checklist organizes items by SEO category rather than ranking impact magnitude from highest to lowest.,"SERP contains multiple published checklists from 2024-2026 — spyfu's 14-step, serpstat's advanced guide, shortlist.io's '50+ things we actually check,' and marketingaid.io's complete checklist with AI prompts. All organize items by SEO category (technical, on-page, off-page, performance) rather than by ranking impact. Shortlist.io has 50+ items and is particularly comprehensive — but comprehensive and prioritized are different attributes. A practitioner working through 50+ items sequentially invests equal time on items with 0.01% ranking impact and items with 15% ranking impact. A checklist explicitly ranking items by expected ranking impact magnitude — with a 'do these first' sequence that moves rankings before exhaustive completion — converts practitioners who have run comprehensive checklists without proportional ranking movement.",免费审计,,已发布,/blog/seo-audit-checklist,,PG-TAS-001,technical_seo_audit,Pillar,"SEO audit checklist ordered by ranking impact magnitude — the priority-first sequence that spyfu (14-step), serpstat (advanced), and shortlist.io (50+ items) all organize by category instead | Gap_Reason: All SERP checklists organize by SEO category (technical/on-page/off-page); none prioritize items by ranking impact magnitude or provide a 'fix these first' sequence. | Aligned: Yes",N,,SEO审计清单,Marcus Lee
content audit tool,"seo content audit tool, website content audit tool, content audit software, free content audit tool, content audit checklist",700,17,Commercial,T2,Tool + Comparison,Content Audit Tool / SEO Content Analyzer,Content managers conflate content audit tools with general SEO crawlers because SERP returns site crawl tools when searchers need update-vs-remove content decision workflows.,"SERP for 'content audit tool seo' returns generic SEO site crawl tools — Ahrefs free site audit, Screaming Frog, Semrush Site Audit, SEOptimer — rather than dedicated content decision tools. LinkGraph has a 'free content audit tool' positioned as 'onpage SEO audit' — the most relevant result but still framed as technical crawl output. The update-vs-create-vs-remove content decision framework that defines a true content audit is not what any SERP result delivers: all return technical crawl reports rather than content strategy recommendations. Content managers searching for a tool to decide which blog posts to update, which to consolidate, and which to remove are sent to technical crawlers — a tool category that answers different questions entirely. A content audit tool specifically addressing the update-vs-create-vs-remove decision workflow captures managers whose search intent the entire current SERP fails to match.",免费试用,,已发布,/blog/content-audit-tool,,PG-TAS-002,technical_seo_audit,Series,"Content audit tool for the update-vs-create-vs-remove decision — not a site crawler: the workflow SERP returns Ahrefs, Screaming Frog, and Semrush for but none of them actually solve | Gap_Reason: SERP returns technical SEO crawlers (Ahrefs, Screaming Frog, Semrush, SEOptimer); LinkGraph's free content audit tool is the only near-relevant result but frames as onpage crawl rather than content decision workflow. | Aligned: Yes",N,,内容审计工具,Sarah Kim
international seo audit,"international seo audit checklist, hreflang audit, multilingual seo audit, global seo audit, hreflang checker",600,12,Informational,T2,Checklist + Guide,International SEO Audit / Hreflang Audit,International SEO managers overlook hreflang return-tag validation because most checklists confirm hreflang is present rather than testing the bidirectional pair mesh Google requires.,"SERP contains solid guides from swiftbrief, weglot, buriedagency (2026 checklist), and indigoextra — some focused on checklists, others on service offerings. One SERP result confirms the key mechanism: 'Missing return links in hreflang tags is one of the most common errors — and Google just ignores the tags entirely when this happens.' However, all checklists include hreflang as one item without explaining what 'hreflang validation' actually requires at the pair level — the return-tag mesh where every language-region page must link back to every other language-region version. This pair-level validation requirement is documented by Google but not translated into a practical validation process in any SERP result. A checklist that specifically tests hreflang at the pair level with a concrete validation process gives international SEO managers the diagnostic tool they need to fix the most common international ranking failure.",免费审计,,已发布,/blog/international-seo-audit,,PG-TAS-003,technical_seo_audit,Series,"International SEO audit with hreflang pair-level validation — not just confirming hreflang is present, which is what weglot, buriedagency, and every SERP checklist stop at | Gap_Reason: SERP guides (swiftbrief, weglot, buriedagency) mention hreflang as a checklist item; none provide a pair-level return-tag mesh validation process. One result confirms 'Google ignores tags entirely' when return tags are missing. | Aligned: Yes",N,,国际SEO审计,Marcus Lee
startup seo,"seo for startups, startup seo services, startup seo strategy, seo startup, seo for startup business",900,10,Informational,T2,Guide,Startup SEO Strategy / Early-Stage Organic Growth,Startup founders conflate startup SEO with early-stage SEO because budget guides still assume some domain history or content team that day-one founders don't have.,"SERP contains CXL's 'defensive MOAT' guide (strategic keyword capture), respona's 'small team budget guide,' and salesforce's beginner-friendly overview. CXL is the strongest — it addresses competitive moat building for startups but assumes a more established starting position. Respona's budget guide comes closest to the zero-resource constraint but still recommends tools and consistent publishing schedules implying a recurring content commitment. The missing piece across all results: a startup SEO approach that starts from truly zero — zero DA, zero content, zero tool budget, one founder with 5 hours/week — and provides a 60-90 day path to first-page rankings on zero-competition keywords. A zero-starting-point framework explicitly stating DA 0, content count 0, and a first-month action list converts the earliest-stage founders that CXL, respona, and salesforce all fail to reach.",免费试用,,已发布,/blog/startup-seo,,PG-SDS-001,startup_diy_seo,Pillar,"Startup SEO from zero: DA 0, content count 0, 5 hours/week — the constraint set CXL's MOAT guide and respona's budget guide both assume away | Gap_Reason: CXL (moat guide), respona (budget guide), and salesforce (beginner guide) all assume some domain history or consistent publishing capacity; the truly zero-starting-point framework is absent from SERP. | Aligned: Yes",N,,创业公司SEO,Sarah Kim
