关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,DR过滤,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,排序权重,内容状态,发布URL,备注
yellow aura,竞品映射,6600,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
green aura,竞品映射,6000,3,0.02,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
purple aura meaning,竞品映射,5900,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
green aura meaning,竞品映射,5900,2,0.01,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
solar return chart,竞品映射,5800,5,0.06,,15,⚠️中,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
blue node,竞品映射,5700,0,0.01,,31,❌强,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
north node,竞品映射,5600,34,0.07,,31,❌强,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
orange aura meaning,竞品映射,5300,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
13th zodiac sign,竞品映射,5300,19,0.02,,40,❌强,0,40,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
astro seek transit chart calculator,种子词拓展,5200,37,0.1,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
12th house astrology,竞品映射,4800,22,0.04,,40,❌强,0,40,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
free astrocartography chart,竞品映射,4700,20,0.08,,7,❌强,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
ophiuchus zodiac,竞品映射,4700,17,0.02,,41,❌强,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
red aura meaning,竞品映射,4600,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
orange aura,竞品映射,4500,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
north node calculator,竞品映射,4500,24,0.02,,6,❌强,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
highly sensitive person test,种子词拓展,4300,23,0.4,,40,❌强,0,40,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
solar return,竞品映射,4300,22,0.08,,18,❌强,0,18,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
free birth chart calculator,种子词拓展,4300,73,0.07,,43,❌强,0,43,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
transit chart,竞品映射,4100,22,0.06,,12,⚠️中,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
red aura,竞品映射,4000,0,0.02,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
saturn in pisces,竞品映射,3900,6,0.02,,23,✅弱,0,23,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
white aura,竞品映射,3600,0,0.02,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
vedic astrology calculator,竞品映射,3600,24,0.03,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what color is my aura,竞品映射,3500,2,0.03,,22,❌强,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
hasta,竞品映射,3100,7,0.05,,37,❌强,0,37,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
aura reading,竞品映射,3000,4,0.8,,27,✅弱,0,27,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
nakshatra,竞品映射,2900,3,0.04,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
root chakra meaning,竞品映射,2900,17,0.03,,28,⚠️中,0,28,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,2,,,
vedic astrology birth chart,竞品映射,2900,23,0.6,,15,⚠️中,0,15,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
vedic birth chart,竞品映射,2700,22,0.15,,16,⚠️中,0,16,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
astrology birth chart calculator,种子词拓展,2700,71,0.35,,38,❌强,0,38,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
8th house,竞品映射,2700,22,0.04,,27,✅弱,0,27,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
sidereal chart,竞品映射,2600,32,0.08,,14,⚠️中,0,14,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
12th house,内容缺口,2600,21,0.06,,24,⚠️中,0,24,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
black moon lilith,竞品映射,2400,22,0.04,,24,✅弱,0,24,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
south node,竞品映射,2400,12,0.05,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
11th house,竞品映射,2400,17,0.02,,28,✅弱,0,28,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
persephone meaning,竞品映射,2400,2,0.02,,39,❌强,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,⚠️疑似高风险,,1,,,
birth chart calculator free,种子词拓展,2300,70,0.07,,39,✅弱,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
vedic astrology birth chart calculator,种子词拓展,2100,38,0.02,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
13 zodiac signs,竞品映射,2100,26,0.02,,34,❌强,0,34,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
astro-seek birth chart calculator,种子词拓展,2100,74,,,72,❌强,0,72,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
vedic chart,竞品映射,2100,23,0.02,,7,✅弱,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
crown chakra meaning,竞品映射,2000,10,0.02,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
moon rising,竞品映射,2000,75,0.1,,29,❌强,0,29,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
vedic chart calculator,竞品映射,1900,22,0.03,,4,✅弱,0,4,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what does a blue aura mean,竞品映射,1900,0,0.02,,26,⚠️中,0,26,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
ajna chakra,竞品映射,1900,10,0.07,,13,⚠️中,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
13th zodiac,竞品映射,1800,17,0.04,,26,⚠️中,0,26,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
north node in scorpio,竞品映射,1800,0,0.09,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek birth chart calculator,种子词拓展,1800,73,0.9,,72,⚠️中,0,72,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
saturn in aries 2025,竞品映射,1700,13,0.02,,24,❌强,0,24,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
sidereal birth chart,竞品映射,1600,23,0.7,,18,⚠️中,0,18,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
vedic astrology birth chart calculator online,种子词拓展,1600,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
what does a white aura mean,竞品映射,1600,0,0.02,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
malefic,竞品映射,1600,5,0.15,,45,❌强,0,45,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
sacral chakra meaning,竞品映射,1600,17,0.03,,30,⚠️中,0,30,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,2,,,
vedic astrology chart calculator,竞品映射,1600,34,0.02,,4,✅弱,0,4,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
astro-seek birth chart calculator url parameters,种子词拓展,1600,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
what does a green aura mean,竞品映射,1500,2,0.01,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is my north node,竞品映射,1500,30,0.02,,10,✅弱,0,10,✅相关,,Informational,✅通过,📌长尾词,,,📌长尾词,⚠️疑似高风险,,3,,,
light blue aura meaning,竞品映射,1500,0,0.02,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
astro-seek,种子词拓展,1500,0,3.5,,28,⚠️中,0,28,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
north node in taurus,竞品映射,1400,0,0.2,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
composite chart calculator,竞品映射,1400,12,0.2,,25,✅弱,0,25,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura quiz,竞品映射,1300,4,0.08,,20,⚠️中,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
astrocartography chart calculator,竞品映射,1300,30,0.07,,7,❌强,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
what is career transition planning,种子词拓展,1300,7,,,57,❌强,0,57,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,⚠️疑似高风险,,1,,,
spirit animal chart,竞品映射,1300,4,0.1,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura colors meaning,竞品映射,1300,1,0.02,,32,✅弱,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,⚠️疑似高风险,,3,,,
astro.com birth chart calculator,种子词拓展,1300,59,0.8,,16,⚠️中,0,16,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
what does a purple aura mean,竞品映射,1300,3,0.02,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does red aura mean,竞品映射,1200,0,0.01,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
vedic birth chart calculator online free,种子词拓展,1200,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
north node in gemini,竞品映射,1200,0,0.09,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura test,竞品映射,1200,0,0.15,,2,⚠️中,0,2,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
vedic birth chart calculator,种子词拓展,1200,39,0.05,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
free vedic birth chart with interpretation,竞品映射,1200,24,0.06,,5,✅弱,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
ashlesha nakshatra,竞品映射,1200,0,0.08,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart compatibility calculator,种子词拓展,1200,30,0.15,,21,✅弱,0,21,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
rohini nakshatra,竞品映射,1100,0,0.06,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
miami dade transit bus tracker,种子词拓展,1100,9,1.3,,25,❌强,0,25,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
birth chart calculator online,种子词拓展,1100,75,0.1,,25,✅弱,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
astro seek synastry,种子词拓展,1100,39,0.09,,74,⚠️中,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
what is the 12th house in astrology,竞品映射,1100,23,0.02,,41,⚠️中,0,41,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,⚠️疑似高风险,,2,,,
pushya nakshatra,竞品映射,1100,0,0.06,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does green aura mean,竞品映射,1100,3,0.01,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ardra nakshatra,竞品映射,1100,0,0.04,,27,⚠️中,0,27,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
anuradha nakshatra,竞品映射,1100,1,0.15,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
bharani nakshatra,竞品映射,1000,0,0.09,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is my aura,竞品映射,1000,4,0.03,,22,⚠️中,0,22,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,2,,,
what does blue aura mean,竞品映射,1000,0,0.01,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
8th house meaning,竞品映射,1000,16,0.02,,27,✅弱,0,27,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
astrology birth chart calculator online free,种子词拓展,1000,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
what is the 13th zodiac sign,竞品映射,1000,12,0.01,,34,✅弱,0,34,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,⚠️疑似高风险,,3,,,
revati nakshatra,竞品映射,1000,0,0.05,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
first house,竞品映射,1000,22,0.08,,24,⚠️中,0,24,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
dhanishta nakshatra,竞品映射,1000,1,0.1,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
magha nakshatra,竞品映射,1000,1,0.1,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek natal chart,种子词拓展,1000,0,0.08,,31,✅弱,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
neptune in pisces,竞品映射,1000,1,0.07,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
north node meaning,竞品映射,1000,35,0.02,,15,✅弱,0,15,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,⚠️疑似高风险,,3,,,
punarvasu nakshatra,竞品映射,1000,0,0.09,,13,✅弱,0,13,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free vedic birth chart calculator online,种子词拓展,900,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
hasta nakshatra,竞品映射,900,1,0.07,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
krittika nakshatra,竞品映射,900,0,0.04,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ashwini nakshatra,竞品映射,900,0,,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
online birth chart calculator,种子词拓展,900,76,0.1,,41,⚠️中,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
rahu and ketu,竞品映射,900,6,0.07,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
chitra nakshatra,竞品映射,900,0,0.07,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
south node calculator,竞品映射,900,28,0.02,,4,✅弱,0,4,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
miami-dade transit tracker,种子词拓展,900,39,1.2,,25,❌强,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
my juno sign,竞品映射,800,18,0.2,,22,⚠️中,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
sidereal birth chart calculator,种子词拓展,800,33,0.2,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
north node astrology,竞品映射,800,22,0.03,,17,✅弱,0,17,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
sextile astrology,竞品映射,800,14,0.08,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does a red aura mean,竞品映射,800,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrology ai,种子词拓展,800,40,0.8,,2,✅弱,0,2,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what does yellow aura mean,竞品映射,800,0,0.02,,26,✅弱,0,26,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
highly sensitive person traits,种子词拓展,800,24,0.03,,32,⚠️中,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
what does purple aura mean,竞品映射,800,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
swati nakshatra,竞品映射,800,1,,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to see your aura color,竞品映射,800,2,0.04,,17,✅弱,0,17,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
jyotish astrology,竞品映射,700,33,0.7,,7,⚠️中,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
uttara phalguni nakshatra,竞品映射,700,1,0.15,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
juno astrology,竞品映射,700,11,0.02,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
solar plexus chakra affirmations,竞品映射,700,0,0.03,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is my aura color,竞品映射,700,2,0.04,,22,✅弱,0,22,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
what does white aura mean,竞品映射,700,0,0.02,,27,✅弱,0,27,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
mrigashira nakshatra,竞品映射,700,0,0.25,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
when did saturn enter pisces,竞品映射,700,5,,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astroseek birth chart calculator,种子词拓展,700,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
purva phalguni nakshatra,竞品映射,700,1,0.06,,3,✅弱,0,3,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
sidereal chart calculator,竞品映射,700,25,0.04,,6,✅弱,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
free vedic astrology chart,竞品映射,700,40,0.03,,5,✅弱,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
south node symbol,竞品映射,700,16,0.05,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
color test personality,竞品映射,700,40,0.5,,11,❌强,0,11,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
mc in astrology,竞品映射,700,22,,,46,⚠️中,0,46,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
highly sensitive person symptoms,种子词拓展,700,20,0.03,,65,⚠️中,0,65,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
black lilith,竞品映射,600,24,0.04,,14,⚠️中,0,14,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
timepassages,种子词拓展,600,14,0.25,,74,⚠️中,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
transit tracker,种子词拓展,600,25,0.35,,25,❌强,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
vedic astrology reading,竞品映射,600,22,0.8,,6,⚠️中,0,6,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
saturn in pisces dates,竞品映射,600,12,,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ai astrology,种子词拓展,600,32,0.8,,0,⚠️中,0,0,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
how to find your aura color,竞品映射,600,2,0.03,,22,⚠️中,0,22,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
my aura,竞品映射,600,4,1.9,,17,⚠️中,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
natal birth chart calculator,种子词拓展,600,70,0.35,,40,⚠️中,0,40,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
vedic birth chart calculator online,种子词拓展,600,,,,,,,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
rahu mahadasha,竞品映射,600,0,0.02,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
cancer ascendant,内容缺口,600,12,0.02,,53,⚠️中,0,53,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
sidereal natal chart,竞品映射,600,23,0.25,,5,✅弱,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
how to find my 7th house,竞品映射,600,15,0.5,,61,⚠️中,0,61,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,,,2,,,
sidereal astrology calculator,竞品映射,600,24,0.03,,5,⚠️中,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
purva bhadrapada nakshatra,竞品映射,600,1,0.1,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to read auras,竞品映射,600,2,0.03,,32,⚠️中,0,32,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,,,2,,,
aura color,竞品映射,600,3,0.02,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
western astrology,竞品映射,500,15,0.35,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
purple aura color meaning,竞品映射,500,0,0.02,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
free online birth chart calculator,种子词拓展,500,76,0.06,,38,⚠️中,0,38,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
miami dade transit tracker,种子词拓展,500,39,0.2,,25,❌强,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
natal transit chart,竞品映射,500,20,,,12,⚠️中,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
