Target Keyword,Associated Keywords,月搜索量,KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit,page_id,cluster_id,page_role,content_angle,psych_safety_flag,journal_prompts,target_keyword_zh,author
seo for saas startups,"saas startup seo, seo for early stage saas, seo strategy for saas startup, saas startup seo guide",250,3,Informational,T2,Guide,SaaS Startup SEO / Early-Stage SEO Strategy,,,免费试用,,待写,/blog/seo-for-saas-startups,,PG-SFS-004,seo_for_saas,Series,"SEO for SaaS startups with zero domain authority and a 1-person content team — the 90-day sprint that generates first-page rankings before Series A fundraising | Gap_Reason: Existing SaaS SEO content assumes established teams; no guide addresses the zero-DA zero-budget constraint set of pre-PMF startups. | Aligned: Yes",N,,SaaS创业公司SEO,Sarah Kim
ethical seo,"ethical seo company, ethical seo services, white hat seo, ethical seo practices, ethical digital marketing",900,5,Informational,T2,Guide + Brand,Ethical SEO / White-Hat SEO Methodology,,,免费咨询,,待写,/blog/ethical-seo,,PG-EOS-001,ethical_organic_seo,Pillar,"Ethical SEO that compounds year over year without algorithm penalty risk — the specific practices that separate white-hat methodology from black-hat shortcuts and why the ROI gap widens each update | Gap_Reason: SERP results are generic 'white hat vs black hat' explainers; no page provides a specific ethical SEO framework with verifiable methodology transparency standards. | Aligned: Yes",N,,道德SEO,Sarah Kim
organic seo services,"organic seo service, best organic seo services, organic seo company, organic search services, organic seo agency",2200,1,Commercial,T1,Landing + Comparison,Organic SEO Services / White-Hat SEO Agency,,,免费咨询,,待写,/blog/organic-seo-services,,PG-EOS-002,ethical_organic_seo,Series,"Organic SEO services that commit to methodology transparency — the 5 questions to ask any SEO provider to verify their practices are genuinely white-hat before signing a contract | Gap_Reason: SERP is dominated by service landing pages with no buyer-vetting framework; no editorial content provides a due-diligence checklist. | Aligned: Yes",N,,自然SEO服务,Sarah Kim
cost effective seo services,"affordable seo services, cheap but effective seo services, value seo services, seo services pricing",600,9,Commercial,T2,Comparison + Pricing,Cost-Effective SEO / SEO ROI Framework,,,免费咨询,,待写,/blog/cost-effective-seo-services,,PG-EOS-003,ethical_organic_seo,Support,"Cost-effective SEO services — why per-ranking pricing is a trap and what an honest ROI framework looks like at the $1000-$3000/month agency budget range | Gap_Reason: SERP shows generic service pages; no content models SEO pricing against actual ROI trajectories with transparent cost-per-outcome math. | Aligned: Yes",N,,高性价比SEO服务,Alex Chen
best ai seo tools,"ai seo tool, top ai seo tools, ai seo software, best ai for seo, ai powered seo tools",1800,13,Commercial,T1,Comparison + Guide,AI SEO Tool / AI-Powered SEO Platform,,,免费试用,,待写,/blog/best-ai-seo-tools,,PG-AIS-001,ai_seo_automation,Pillar,"Best AI SEO tools ranked by what they actually automate vs what still requires human judgment — separating genuine automation from AI-wrapper UI on legacy tools | Gap_Reason: Existing AI SEO tool roundups are generic; none test the automation depth or distinguish real AI capability from marketing copy. | Aligned: Yes",N,,最佳AI SEO工具,Marcus Lee
seo automation,"automated seo, seo process automation, seo workflow automation, automate seo, seo task automation",2600,0,Informational,T1,Guide,SEO Automation / SEO Workflow Automation,,,免费试用,,待写,/blog/seo-automation,,PG-AIS-002,ai_seo_automation,Series,"SEO automation that handles rank monitoring audit reporting and content gap analysis — the 10 tasks any SEO team should automate before hiring another analyst | Gap_Reason: SERP shows 'best seo tools' lists rather than task-level automation breakdowns; the specific workflow-level guide is unoccupied. | Aligned: Yes",N,,SEO自动化,Marcus Lee
all in one seo,"all in one seo tool, all in one seo platform, integrated seo platform, best all in one seo, seo all in one",1500,8,Commercial,T1,Comparison + Landing,All-in-One SEO Platform / Integrated SEO Tool,,,免费试用,,待写,/blog/all-in-one-seo,,PG-AIS-003,ai_seo_automation,Series,"All-in-one SEO platforms that consolidate rank tracking audit and reporting vs paying for 4 separate tools — when consolidation saves time and when it cuts capability you need | Gap_Reason: SERP dominated by Yoast/RankMath plugin content; no page specifically evaluates all-in-one platforms for agency and SaaS use cases. | Aligned: Yes",N,,一站式SEO平台,Marcus Lee
seo audit checklist,"technical seo audit checklist, seo website audit checklist, full seo audit checklist, site audit checklist, seo checklist 2026",3100,0,Informational,T1,Checklist + Tool,SEO Audit Checklist / Technical SEO Checklist,,,免费审计,,待写,/blog/seo-audit-checklist,,PG-TAS-001,technical_seo_audit,Pillar,"SEO audit checklist organized by ranking impact tier — the 15 fixes that move rankings vs the 200 nice-to-have items that consume implementation capacity without moving metrics | Gap_Reason: Existing checklists are exhaustive lists without priority scoring; no guide distinguishes high-impact fixes from low-impact completeness items. | Aligned: Yes",N,,SEO审计清单,Marcus Lee
content audit tool,"seo content audit tool, website content audit tool, content audit software, free content audit tool, content audit checklist",700,17,Commercial,T2,Tool + Comparison,Content Audit Tool / SEO Content Analyzer,,,免费试用,,待写,/blog/content-audit-tool,,PG-TAS-002,technical_seo_audit,Series,"Content audit tools that identify which existing pages to update vs create — why content decay detection outperforms new page creation ROI for sites with 50+ existing pages | Gap_Reason: SERP results are generic SEO platform feature pages; no guide specifically models update-vs-create ROI with content age and traffic decay data. | Aligned: Yes",N,,内容审计工具,Sarah Kim
international seo audit,"international seo audit checklist, hreflang audit, multilingual seo audit, global seo audit, hreflang checker",600,12,Informational,T2,Checklist + Guide,International SEO Audit / Hreflang Audit,,,免费审计,,待写,/blog/international-seo-audit,,PG-TAS-003,technical_seo_audit,Series,"International SEO audit built around hreflang accuracy and canonical signal consistency — the two technical errors that cause 90% of international ranking failures | Gap_Reason: SERP mixes general technical audit guides with hreflang documentation; no audit guide specifically prioritizes the most common international SEO failure modes. | Aligned: Yes",N,,国际SEO审计,Marcus Lee
startup seo,"seo for startups, startup seo services, startup seo strategy, seo startup, seo for startup business",900,10,Informational,T2,Guide,Startup SEO Strategy / Early-Stage Organic Growth,,,免费试用,,待写,/blog/startup-seo,,PG-SDS-001,startup_diy_seo,Pillar,"Startup SEO for teams with zero domain authority and one person handling everything — the 5-hour-per-week system that builds first-page rankings before you can afford an agency | Gap_Reason: Existing startup SEO guides assume $5k+/month budget; no guide addresses the pre-revenue zero-resource constraint set. | Aligned: Yes",N,,创业公司SEO,Sarah Kim
free seo consultation,"free seo consultation call, free seo audit consultation, seo consultation free, free seo strategy call, free seo advice",1100,0,Transactional,T2,Landing / CTA Page,Free SEO Consultation / SEO Audit Call,,,预约免费咨询,,待写,/free-seo-consultation,,PG-SDS-002,startup_diy_seo,Support,"Free 30-minute SEO consultation that identifies the 3 highest-impact opportunities specific to your site — no templates no generic advice | Gap_Reason: SERP results are service agency pages listing consultation as an upsell; no page positions free consultation as the primary deliverable. | Aligned: Yes",N,,免费SEO咨询,Alex Chen
seo starter package,"seo starter kit, seo basics package, beginner seo package, starter seo service, entry level seo",450,17,Commercial,T2,Landing + Pricing,SEO Starter Package / Entry-Level SEO Service,,,免费试用,,待写,/blog/seo-starter-package,,PG-SDS-003,startup_diy_seo,Series,"SEO starter packages that actually move rankings vs $99/month services that generate colorful reports but never touch content or technical issues | Gap_Reason: SERP dominated by service packages from low-quality providers; no editorial guide explains what a legitimate starter package includes and how to verify it. | Aligned: Yes",N,,SEO入门套餐,Sarah Kim
seo for technology companies,"seo for tech companies, seo for software companies, seo for tech startups, b2b tech seo, seo for it companies",1000,0,Informational,T2,Guide,Technology Company SEO / B2B Tech SEO Strategy,,,预约演示,,待写,/blog/seo-for-technology-companies,,PG-B2B-001,b2b_agency_seo,Pillar,"SEO for technology companies that prioritizes developer documentation integration pages and comparison content over brand awareness — the B2B tech content hierarchy that drives pipeline | Gap_Reason: Generic SEO guides don't address the specific content architecture of B2B tech companies; developer docs and integration pages are ignored as SEO assets. | Aligned: Yes",N,,科技公司SEO,Alex Chen
seo outreach agency,"seo outreach services, seo link outreach agency, outreach seo, link building outreach agency, seo outreach company",700,3,Commercial,T2,Comparison + Landing,SEO Outreach Agency / Link Building Service,,,预约演示,,待写,/blog/seo-outreach-agency,,PG-B2B-002,b2b_agency_seo,Series,"What to expect from an SEO outreach agency vs in-house link building — cost per link time-to-publish and editorial quality thresholds explained with benchmark data | Gap_Reason: SERP results are agency service pages; no editorial comparison explains the cost-per-link math and quality benchmarks for evaluating outreach agencies. | Aligned: Yes",N,,SEO外链拓展服务,Alex Chen
best tools for seo for b2b,"b2b seo tools, seo tools for b2b companies, top seo tools for b2b, best b2b seo tools, b2b seo software",400,0,Commercial,T2,Comparison,B2B SEO Tools / B2B SEO Platform,,,预约演示,,待写,/blog/best-tools-for-seo-for-b2b,,PG-B2B-003,b2b_agency_seo,Series,"B2B SEO tools that surface account-level intent signals vs consumer-intent platforms — the capability gap between enterprise B2B SEO workflows and standard agency tool stacks | Gap_Reason: All existing comparisons are generic 'best SEO tools' lists; none evaluate tools specifically against B2B use cases like account signal monitoring and ICP content performance. | Aligned: Yes",N,,B2B最佳SEO工具,Marcus Lee
affordable seo tools,"best affordable seo tools, low cost seo tools, cheap seo tools, budget seo tools, best cheap seo tools",900,15,Commercial,T2,Comparison + Guide,Affordable SEO Tools / Budget-Friendly SEO Software,,,免费试用,,待写,/blog/affordable-seo-tools,,PG-CMP-001,seo_tools_comparison,Pillar,"Affordable SEO tools ranked by feature-to-cost ratio — which sub-$200/month platforms deliver 80% of enterprise-tool capability for agencies and startups that can't justify Semrush pricing | Gap_Reason: Existing affordable SEO tool posts are outdated or written by affiliate sites without actual testing; feature-per-dollar analysis is missing. | Aligned: Yes",N,,实惠SEO工具,Alex Chen
serankings,"serankings review, serankings vs semrush, serankings alternative, se ranking features, se ranking pricing, se ranking seo tool",1400,12,Commercial,T2,Comparison / Alternative,SE Rankings Alternative / SEO Tool Comparison,,,免费试用,,待写,/blog/serankings-alternative,,PG-CMP-002,seo_tools_comparison,Series,"SE Rankings vs alternatives — where it leads on price and interface and where gengrowth.ai closes the gap on white-labeling depth and agency-specific reporting workflows | Gap_Reason: SERP shows only SE Rankings' own content and review platforms; no independent comparison analyzes agency-specific white-label capability gaps. | Aligned: Yes",N,,SE Rankings替代方案,Marcus Lee
seo diagrams,"seo diagram, seo infographic, seo visual guide, seo flow diagram, seo architecture diagram",400,14,Informational,T2,Visual Guide,SEO Diagrams / SEO Visual Frameworks,,,免费试用,,待写,/blog/seo-diagrams,,PG-CMP-003,seo_tools_comparison,Support,"Visual SEO diagrams that explain crawl architecture internal linking logic and content cluster structure for onboarding non-SEO stakeholders and clients | Gap_Reason: SERP returns stock illustration sites and generic blog posts; no curated library of properly explained SEO architecture diagrams exists. | Aligned: Yes",N,,SEO图解,Sarah Kim
why use a backlink monitor tool,"backlink monitor tool, backlink monitoring software, why monitor backlinks, best backlink monitor, backlink tracking tool",300,0,Informational,T2,Definition + Guide,Backlink Monitor Tool / Link Monitoring,,,免费试用,,待写,/blog/why-use-a-backlink-monitor-tool,,PG-SLB-001,social_link_building,Support,"Why backlink monitoring catches ranking drops before they appear in Google Search Console — the 3 link signals that predict ranking movement 2-3 weeks before GSC shows data | Gap_Reason: SERP shows tool comparison pages; no page specifically explains the early-warning signal logic that justifies backlink monitoring as a priority over reactive GSC checks. | Aligned: Yes",N,,为什么使用外链监控工具,Marcus Lee
tiktok seo tool,"seo tool for tiktok, tiktok seo tool free, tiktok seo optimization, tiktok keyword research tool, tiktok seo",500,30,Commercial,T2,Guide + Tool,TikTok SEO Tool / TikTok Search Optimization,,,免费试用,,待写,/blog/tiktok-seo-tool,,PG-SMS-001,social_media_seo_tools,Series,"TikTok SEO tools that identify discoverable keyword and hashtag opportunities — how TikTok search ranking logic differs from Google and what optimization levers actually change content reach | Gap_Reason: SERP shows general TikTok marketing guides; no tool-specific guide explains TikTok's search ranking mechanism and maps it to specific optimization actions. | Aligned: Yes",N,,TikTok SEO工具,Sarah Kim
