Target Keyword,Associated Keywords,月搜索量, KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit
9th house astrology,"first house, astrology ai, jyotish astrology, astrology transits, 7th house astrology calculator, transits astrology, verdict astrology",7000,19,,,,,,,,,,,
yellow aura,(无),6600,0,,,,,,,,,,,
green aura,(无),6000,3,,,,,,,,,,,
orange aura,(无),4500,0,,,,,,,,,,,
red aura,(无),4000,0,,,,,,,,,,,
saturn in pisces,(无),3900,6,,,,,,,,,,,
white aura,(无),3600,0,,,,,,,,,,,
11th house,(无),2400,17,,,,,,,,,,,
crown chakra meaning,(无),2000,10,,,,,,,,,,,
spirit animal chart,(无),1300,4,,,,,,,,,,,
what does a purple aura mean,(无),1300,3,,,,,,,,,,,
what does red aura mean,(无),1200,0,,,,,,,,,,,
what does green aura mean,(无),1100,3,,,,,,,,,,,
what does blue aura mean,(无),1000,0,,,,,,,,,,,
8th house meaning,8th house,1000,16,,,,,,,,,,,
magha nakshatra,(无),1000,1,,,,,,,,,,,
neptune in pisces,(无),1000,1,,,,,,,,,,,
punarvasu nakshatra,(无),1000,0,,,,,,,,,,,
hasta nakshatra,(无),900,1,,,,,,,,,,,
krittika nakshatra,(无),900,0,,,,,,,,,,,
ashwini nakshatra,(无),900,0,,,,,,,,,,,
rahu and ketu,(无),900,6,,,,,,,,,,,
chitra nakshatra,(无),900,0,,,,,,,,,,,
sextile astrology,(无),800,14,,,,,,,,,,,
what does a red aura mean,(无),800,0,,,,,,,,,,,
what does yellow aura mean,(无),800,0,,,,,,,,,,,
what does purple aura mean,(无),800,0,,,,,,,,,,,
swati nakshatra,(无),800,1,,,,,,,,,,,
uttara phalguni nakshatra,(无),700,1,,,,,,,,,,,
juno astrology,(无),700,11,,,,,,,,,,,
solar plexus chakra affirmations,(无),700,0,,,,,,,,,,,
what does white aura mean,(无),700,0,,,,,,,,,,,
mrigashira nakshatra,(无),700,0,,,,,,,,,,,
when did saturn enter pisces,(无),700,5,,,,,,,,,,,
purva phalguni nakshatra,(无),700,1,,,,,,,,,,,
south node symbol,(无),700,16,,,,,,,,,,,
saturn in pisces dates,(无),600,12,,,,,,,,,,,
rahu mahadasha,(无),600,0,,,,,,,,,,,
purva bhadrapada nakshatra,(无),600,1,,,,,,,,,,,
western astrology,western astrology birth chart calculator,500,15,,,,,,,,,,,
purple aura color meaning,(无),500,0,,,,,,,,,,,
what does a square mean in astrology,(无),500,13,,,,,,,,,,,
saturn return in pisces,(无),500,4,,,,,,,,,,,
mecury in retrograde,(无),500,1,,,,,,,,,,,
bharani,(无),500,1,,,,,,,,,,,
what does an orange aura mean,(无),500,0,,,,,,,,,,,
dark blue aura meaning,(无),500,0,,,,,,,,,,,
mula nakshatra,(无),500,0,,,,,,,,,,,
what is a full moon ritual,"black moon lilith, moon rising, black moon lilith sign",450,1,,,,,,,,,,,
uttara bhadrapada,(无),450,1,,,,,,,,,,,
ic astrology,"vedic astrology, vedic astrology calculator, vedic astrology birth chart, vedic astrology birth chart calculator, vedic astrology birth chart calculator online, vedic astrology chart calculator, free vedic astrology chart",450,18,,,,,,,,,,,
ic astrology,"vedic astrology reading, vedic astrology chart with interpretation, vedic astrology natal chart, vedic astrology meaning, online vedic astrology birth chart calculator, birth chart calculator vedic astrology, vedic astrology birth chart calculator free",450,18,,,,,,,,,,,
ic astrology,free vedic astrology birth chart calculator,450,18,,,,,,,,,,,
full moon energy,(无),450,8,,,,,,,,,,,
ashlesha,(无),450,1,,,,,,,,,,,
how to see your aura,(无),400,2,,,,,,,,,,,
is persephone a goddess,(无),400,1,,,,,,,,,,,
ketu mahadasha,(无),400,0,,,,,,,,,,,
what does orange aura mean,(无),400,0,,,,,,,,,,,
what color is your aura,(无),400,0,,,,,,,,,,,
uttara bhadrapada nakshatra,(无),400,2,,,,,,,,,,,
uttara phalguni,(无),400,1,,,,,,,,,,,
purva bhadrapada,(无),400,0,,,,,,,,,,,
what was persephone the goddess of,(无),400,5,,,,,,,,,,,
revati,(无),400,4,,,,,,,,,,,
north node in sagittarius,(无),350,0,,,,,,,,,,,
light green aura meaning,(无),350,1,,,,,,,,,,,
what is ic in astrology,(无),350,17,,,,,,,,,,,
saturn in pisces meaning,(无),350,6,,,,,,,,,,,
ophiuchus zodiac sign dates,(无),350,9,,,,,,,,,,,
ic in astrology,(无),350,14,,,,,,,,,,,
descendant astrology,(无),350,9,,,,,,,,,,,
punarvasu,(无),350,0,,,,,,,,,,,
astrocartography interpretation,(无),300,17,,,,,,,,,,,
uranus opposition,(无),300,0,,,,,,,,,,,
sextile in astrology,(无),300,8,,,,,,,,,,,
chakra test,(无),300,5,,,,,,,,,,,
violet aura meaning,(无),300,0,,,,,,,,,,,
uttarabhadra nakshatra,(无),300,2,,,,,,,,,,,
what does the color white mean spiritually,what does the 8th house represent,300,0,,,,,,,,,,,
malefic planets,(无),300,0,,,,,,,,,,,
krittika,(无),300,0,,,,,,,,,,,
what is persephone the god of,(无),250,1,,,,,,,,,,,
accurate past life calculator,"past life calculator, how did i die in my past life astrology calculator",250,8,,,,,,,,,,,
juno sign,(无),250,12,,,,,,,,,,,
square astrology,(无),250,12,,,,,,,,,,,
lime green aura meaning,(无),250,3,,,,,,,,,,,
chiron in 12th house,12th house,250,0,,,,,,,,,,,
whats my aura color,(无),250,2,,,,,,,,,,,
shani mahadasha,(无),250,0,,,,,,,,,,,
mars in 12th house,(无),250,0,,,,,,,,,,,
white spiritual meaning,(无),250,0,,,,,,,,,,,
what is sextile in astrology,(无),250,9,,,,,,,,,,,
purvabhadra nakshatra,(无),250,0,,,,,,,,,,,
white aura color meaning,(无),250,0,,,,,,,,,,,
aura colors and their meaning,(无),250,9,,,,,,,,,,,
imum coeli meaning,(无),250,6,,,,,,,,,,,
gemini north node,(无),250,1,,,,,,,,,,,
north node leo,(无),250,0,,,,,,,,,,,
magha,(无),250,2,,,,,,,,,,,
when did neptune enter pisces,(无),200,1,,,,,,,,,,,
blue aura color,(无),200,0,,,,,,,,,,,
rahu in 2nd house and ketu in 8th house,(无),200,0,,,,,,,,,,,
what does sextile mean in astrology,(无),200,12,,,,,,,,,,,
north node sign,(无),200,14,,,,,,,,,,,
mrigashira,(无),200,0,,,,,,,,,,,
dark green aura meaning,(无),200,1,,,,,,,,,,,
13th star sign,(无),200,12,,,,,,,,,,,
south node in scorpio,(无),200,0,,,,,,,,,,,
malefics,(无),200,1,,,,,,,,,,,
trine in astrology,(无),200,7,,,,,,,,,,,
the root chakra,(无),200,16,,,,,,,,,,,
aura amarilla significado,(无),200,0,,,,,,,,,,,
what does square mean in astrology,(无),200,13,,,,,,,,,,,
juno asteroid astrology,(无),200,13,,,,,,,,,,,
vedic astrology houses,(无),200,7,,,,,,,,,,,
orange aura color meaning,(无),200,0,,,,,,,,,,,
solar chart,(无),200,3,,,,,,,,,,,
north node gemini,(无),200,0,,,,,,,,,,,
rahu in 11th house and ketu in 5th house,(无),200,0,,,,,,,,,,,
whats my aura,(无),200,3,,,,,,,,,,,
what is a sextile in astrology,(无),200,12,,,,,,,,,,,
rahu ketu in english,(无),200,1,,,,,,,,,,,
red aura color meaning,(无),200,0,,,,,,,,,,,
famous highly sensitive person,(无),200,0,,,,,,,,,,,
sextile meaning astrology,ascendant astrology meaning,200,16,,,,,,,,,,,
saturn mahadasha,(无),200,0,,,,,,,,,,,
north node sagittarius,(无),200,0,,,,,,,,,,,
elvis presley birth chart,(无),200,4,,,,,,,,,,,
violet aura,(无),200,0,,,,,,,,,,,
ketu astrology,(无),200,2,,,,,,,,,,,
3 gunas,(无),200,12,,,,,,,,,,,
the color blue spiritual meaning,(无),200,4,,,,,,,,,,,
square in astrology,(无),200,15,,,,,,,,,,,
light purple aura meaning,(无),200,1,,,,,,,,,,,
libra rising houses,(无),200,0,,,,,,,,,,,
what does the sun and moon symbolize,(无),200,0,,,,,,,,,,,
sextile meaning in astrology,(无),150,18,,,,,,,,,,,
aura colors test,(无),150,2,,,,,,,,,,,
birth chart transit calculator,"transit chart, natal transit chart, astro transit chart, transit birth chart, birth chart transit",150,19,,,,,,,,,,,
what is a square in astrology,(无),150,13,,,,,,,,,,,
south node in aquarius,(无),150,1,,,,,,,,,,,
11 house,(无),150,11,,,,,,,,,,,
thursday spiritual chakra color and planet,(无),150,2,,,,,,,,,,,
rahu in swati,(无),150,0,,,,,,,,,,,
dhanishta,(无),150,0,,,,,,,,,,,
swathi nakshatra rasi,(无),150,0,,,,,,,,,,,
ashlesha nakshatra characteristics,(无),150,0,,,,,,,,,,,
rahu planet in english,(无),150,5,,,,,,,,,,,
opposition astrology,(无),150,0,,,,,,,,,,,
dark red aura,(无),150,0,,,,,,,,,,,
what color is your aura quiz,(无),150,2,,,,,,,,,,,
what is a yellow aura,(无),150,0,,,,,,,,,,,
crystals for each chakra,(无),150,1,,,,,,,,,,,
mars in 12th house synastry,synastry compatibility,150,0,,,,,,,,,,,
lilith conjunct north node synastry,black lilith,150,0,,,,,,,,,,,
pisces saturn,(无),150,5,,,,,,,,,,,
krittika nakshatra famous personalities,(无),150,0,,,,,,,,,,,
9th house in astrology,(无),150,9,,,,,,,,,,,
how to see my aura color,(无),150,2,,,,,,,,,,,
free aura color test,color test personality,150,1,,,,,,,,,,,
square aspect astrology,(无),150,12,,,,,,,,,,,
how to read vedic astrology chart,(无),150,8,,,,,,,,,,,
cancer in 12th house,(无),150,0,,,,,,,,,,,
leo rising houses,(无),150,0,,,,,,,,,,,
relationship life coach,(无),150,3,,,,,,,,,,,
color aura meanings,(无),150,8,,,,,,,,,,,
mrigasira nakshatra,(无),150,0,,,,,,,,,,,
punarvasu nakshatra rashi,(无),150,0,,,,,,,,,,,
arcturian starseed birth chart calculator,(无),150,14,,,,,,,,,,,
pluto in 6th house,(无),150,0,,,,,,,,,,,
gemini rising houses,(无),150,0,,,,,,,,,,,
light purple aura,(无),150,3,,,,,,,,,,,
color aura,(无),150,3,,,,,,,,,,,
aura blanca significado,(无),150,0,,,,,,,,,,,
descendant in astrology,(无),150,8,,,,,,,,,,,
south node in sagittarius,(无),150,0,,,,,,,,,,,
aura orange,(无),150,0,,,,,,,,,,,
pluto in 4th house,(无),150,0,,,,,,,,,,,
career astrology,(无),150,5,,,,,,,,,,,
scorpio rising houses,(无),150,0,,,,,,,,,,,
what is the ic in astrology,the planets in astrology,150,14,,,,,,,,,,,
starseed birth chart calculator,(无),150,14,,,,,,,,,,,
nadi astrology online free,(无),100,11,,,,,,,,,,,
signs you're a highly sensitive person,signs of highly sensitive person,100,11,,,,,,,,,,,
vedic zodiac signs,(无),100,19,,,,,,,,,,,
exalted planets,(无),100,8,,,,,,,,,,,
south node in leo,(无),100,0,,,,,,,,,,,
benefic planets,(无),100,0,,,,,,,,,,,
aura reading online,(无),100,1,,,,,,,,,,,
persephone goddess,(无),12000,18,,,,,,,,,,,
crown chakra,(无),7800,19,,,,,,,,,,,
solar return chart,solar return,5800,5,,,,,,,,,,,
root chakra meaning,(无),2900,17,,,,,,,,,,,
what does a blue aura mean,(无),1900,0,,,,,,,,,,,
ajna chakra,(无),1900,10,,,,,,,,,,,
13th zodiac,(无),1800,17,,,,,,,,,,,
sacral chakra meaning,(无),1600,17,,,,,,,,,,,
astro-seek,"astro-seek birth chart calculator url parameters, astro-seek free birth chart calculator, astro-seek birth chart calculator parameters url, astro-seek vedic birth chart calculator",1500,0,,,,,,,,,,,
aura quiz,(无),1300,4,,,,,,,,,,,
aura test,(无),1200,0,,,,,,,,,,,
ardra nakshatra,(无),1100,0,,,,,,,,,,,
what is my aura,(无),1000,4,,,,,,,,,,,
my juno sign,(无),800,18,,,,,,,,,,,
how to find your aura color,how to find your north node,600,2,,,,,,,,,,,
my aura,(无),600,4,,,,,,,,,,,
natal chart transits,"sidereal natal chart, natal chart transit, transits chart",400,19,,,,,,,,,,,
free starseed birth chart calculator (Part 1/2),"free astrocartography chart, astrology birth chart calculator online free, astrology birth chart calculator free, free birth chart calculator online, astro.com free birth chart calculator, free astrology birth chart calculator, astrological birth chart calculator online free",未找到,未找到,,,,,,,,,,,
free starseed birth chart calculator (Part 2/2),"astro.com natal chart calculator free birth chart, astrology birth chart calculator free online, birth chart calculator free online, free birth chart calculator astrology, online birth chart calculator free, free astrology birth chart calculator online",未找到,未找到,,,,,,,,,,,
whats my 7th house,(无),300,15,,,,,,,,,,,
27 nakshatras,(无),300,3,,,,,,,,,,,
what color is my aura quiz,(无),300,3,,,,,,,,,,,
how to know your aura color,(无),250,0,,,,,,,,,,,
what is your aura,(无),250,0,,,,,,,,,,,
aura reader,(无),250,4,,,,,,,,,,,
ardra,(无),250,2,,,,,,,,,,,
8th house in astrology,(无),250,14,,,,,,,,,,,
aura scan,(无),250,17,,,,,,,,,,,
yellow green aura meaning,(无),200,0,,,,,,,,,,,
aura test free,(无),200,4,,,,,,,,,,,
how to balance vata dosha,(无),200,1,,,,,,,,,,,
ai astrology app,ai astrology,200,4,,,,,,,,,,,
juno calculator astrology,sidereal astrology calculator,200,18,,,,,,,,,,,
how to find midheaven,(无),200,18,,,,,,,,,,,
astrological transits,(无),150,16,,,,,,,,,,,
venus mahadasha,(无),150,0,,,,,,,,,,,
8th house astrology meaning,8th house astrology,150,17,,,,,,,,,,,
rashi by date of birth,(无),150,18,,,,,,,,,,,
2nd house in astrology,(无),150,18,,,,,,,,,,,
when does mercury station direct,(无),150,13,,,,,,,,,,,
rahu means which planet,(无),150,6,,,,,,,,,,,
colors of venus,(无),150,0,,,,,,,,,,,
chakra healing crystals,(无),150,0,,,,,,,,,,,
sattva rajas tamas,(无),150,2,,,,,,,,,,,
what color is my aura,(无),3500,2,,,,,,,,,,,
saturn in aries 2025,(无),1700,13,,,,,,,,,,,
miami dade transit bus tracker,"miami-dade transit tracker, transit tracker, miami dade transit tracker, miami-dade transit bus tracker",1100,9,,,,,,,,,,,
aura color quiz,(无),500,3,,,,,,,,,,,
aura color test,(无),450,2,,,,,,,,,,,
mercury retrograde 2023,(无),450,1,,,,,,,,,,,
benefic,(无),300,4,,,,,,,,,,,
free dosha quiz no email,(无),300,13,,,,,,,,,,,
abundant energy,(无),300,3,,,,,,,,,,,
hub city transit bus tracker,(无),150,0,,,,,,,,,,,
highly sensitive person therapy,(无),100,5,,,,,,,,,,,
