关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,竞争建议,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,弱度意图分,生产准入_自动,手动生产准入,生产准入,生产状态,page_id,发布URL,备注,cluster_id
content marketing seo,种子词拓展,2300,29,0.5,,48,⚠️中,0,48,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo app,种子词拓展,2000,30,3.5,,24,⚠️中,0,24,✅相关,,待确认,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,technical_seo_audit
se ranking review,种子词拓展,1900,26,4,,51,⚠️中,0,51,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
https seo,种子词拓展,1900,26,1.6,,60,⚠️中,0,60,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
moz pricing,种子词拓展,1800,29,6,,57,❌强,0,57,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,seo_tools_comparison
seo automation tools,种子词拓展,1700,22,4,,54.5,⚠️中,0,54.5,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,ai_seo_automation
measure seo,种子词拓展,1600,28,3.5,,34.5,⚠️中,0,34.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
html seo,种子词拓展,1600,22,0.8,,68.5,⚠️中,0,68.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
seo audit company,种子词拓展,1600,22,0.45,,34.5,⚠️中,0,34.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
seranking pricing,种子词拓展,1600,26,2,,61.5,⚠️中,0,61.5,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo for articles,种子词拓展,1500,24,,,78,⚠️中,0,78,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,startup_diy_seo
seo languages,种子词拓展,1400,24,,,74,⚠️中,0,74,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
reporting seo,种子词拓展,1400,21,4,,63.5,⚠️中,0,63.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
seo toolkit,种子词拓展,1300,26,3.5,,55.5,❌强,0,55.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,seo_tools_comparison
seo tools comparison,种子词拓展,1300,25,3.5,,67,⚠️中,0,67,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo content marketing strategy,种子词拓展,1300,20,0.9,,36,⚠️中,0,36,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
best seo marketing software,种子词拓展,1300,27,7,,69,⚠️中,0,69,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
what is the best seo tool,种子词拓展,1300,21,4,,69,⚠️中,0,69,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,⚠️疑似高风险,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo ranking reporting software,种子词拓展,1200,27,,,63,⚠️中,0,63,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
seo elements,种子词拓展,1200,26,0.7,,61,❌强,0,61,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
seo marketing plan,种子词拓展,1200,27,4.5,,67.5,❌强,0,67.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
seo listing,种子词拓展,1200,30,0.7,,60.5,⚠️中,0,60.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
best tools for seo agency,种子词拓展,1000,27,4.5,,69,❌强,0,69,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,b2b_agency_seo
product seo,种子词拓展,1000,22,3,,57,❌强,0,57,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
automatic seo,种子词拓展,1000,21,5,,43.5,⚠️中,0,43.5,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,ai_seo_automation
seo services google,种子词拓展,1000,25,14,,65.5,⚠️中,0,65.5,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo report for client,种子词拓展,1000,21,5,,71.5,⚠️中,0,71.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
seo text,种子词拓展,1000,29,1,,63.5,❌强,0,63.5,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
content creation for seo,种子词拓展,900,24,2,,73.5,⚠️中,0,73.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo for blog,种子词拓展,900,28,1.5,,65,✅弱,0,65,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,startup_diy_seo
blog posts seo,种子词拓展,900,22,1.2,,75.5,⚠️中,0,75.5,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,startup_diy_seo
best tools for seo agencies,种子词拓展,900,48,5,,58,⚠️中,0,58,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,b2b_agency_seo
top 10 seo tools,种子词拓展,900,30,2.5,,69,⚠️中,0,69,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo expert advice,种子词拓展,800,26,70,,42,⚠️中,0,42,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
examples of seo,种子词拓展,800,26,0.7,,56,⚠️中,0,56,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
semrush site audit tool,种子词拓展,800,28,3,,92,⚠️中,0,92,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
best ai tools for seo,种子词拓展,800,28,9,,59,⚠️中,0,59,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,ai_seo_automation
se ranking price,种子词拓展,800,28,2,,36.5,⚠️中,0,36.5,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
se ranking prices,种子词拓展,800,26,2,,36.5,⚠️中,0,36.5,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo website content,种子词拓展,800,30,2.5,,64,❌强,0,64,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
all seo software,种子词拓展,800,28,,,69,⚠️中,0,69,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
moz.,种子词拓展,700,20,1.5,,94,✅弱,0,94,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,seo_tools_comparison
seo google ads,种子词拓展,700,22,5,,64,⚠️中,0,64,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
homepage seo tips,种子词拓展,700,21,,,66,⚠️中,0,66,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
sem rank,种子词拓展,700,26,0.01,,74.5,❌强,0,74.5,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
moz seo pricing,种子词拓展,700,28,3.5,,57,❌强,0,57,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,seo_tools_comparison
seo driven content,种子词拓展,700,25,1,,53,⚠️中,0,53,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
seo webdesign,种子词拓展,700,28,12,,40.5,⚠️中,0,40.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
google seo adwords,种子词拓展,700,24,8,,44.5,⚠️中,0,44.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo for developers,种子词拓展,600,25,12,,32,✅弱,0,32,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
seo checklist for new website,种子词拓展,600,29,1.2,,37.5,✅弱,0,37.5,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,4,暂缓,,暂缓,,,,,technical_seo_audit
powerful seo,种子词拓展,600,23,3.5,,57.5,⚠️中,0,57.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
moz pro cost,种子词拓展,600,30,7,,80,⚠️中,0,80,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo rules,种子词拓展,600,30,0.7,,66,⚠️中,0,66,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
types of keywords in seo,种子词拓展,600,22,5,,64.5,❌强,0,64.5,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
need seo,种子词拓展,600,21,7,,6,✅弱,0,6,✅相关,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,
seo documentation,种子词拓展,600,22,1.4,,38.5,⚠️中,0,38.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
free ranking software,种子词拓展,600,26,4.5,,25.5,✅弱,0,25.5,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,
diy search engine optimization,种子词拓展,600,20,1.7,,62.5,⚠️中,0,62.5,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
best google seo,种子词拓展,600,25,7,,74.5,❌强,0,74.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
aio seo,种子词拓展,500,24,2,,88.5,⚠️中,0,88.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
search engine optimization examples,种子词拓展,500,30,0.7,,62,❌强,0,62,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
seo software for agency,种子词拓展,500,28,0.3,,70.5,⚠️中,0,70.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,b2b_agency_seo
best seo report tools,种子词拓展,500,26,6,,63.5,⚠️中,0,63.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
seo content optimization tools,种子词拓展,500,26,3.5,,43,⚠️中,0,43,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
dyi seo,种子词拓展,500,20,3.5,,59,⚠️中,0,59,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
google seo guidelines,种子词拓展,500,27,2.5,,39.5,⚠️中,0,39.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to add keywords to your website for google search,种子词拓展,500,30,0.5,,51.5,⚠️中,0,51.5,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
adding seo to website,种子词拓展,500,30,3.5,,39,⚠️中,0,39,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo keyword marketing,种子词拓展,450,28,,,63.5,⚠️中,0,63.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
best seo audit software,种子词拓展,450,24,5,,68,⚠️中,0,68,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
search engine optimization and search engine marketing,种子词拓展,450,25,0.35,,82.5,⚠️中,0,82.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
cheap seo report,种子词拓展,450,21,4,,7,✅弱,0,7,✅相关,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,agency_rank_tracking
se ranking keyword research,种子词拓展,450,28,2,,85,❌强,0,85,✅相关,,待确认,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
top 10 search engine optimization tools,种子词拓展,450,27,3.5,,69,❌强,0,69,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
seranking support,种子词拓展,400,23,,,74,⚠️中,0,74,⚠️待确认,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
moz signup,种子词拓展,400,26,5,,50,✅弱,0,50,⚠️待确认,,待确认,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,seo_tools_comparison
improve google rankings,种子词拓展,400,30,7,,74,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo content writing tool,种子词拓展,400,23,0.4,,61,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo for content writing,种子词拓展,350,28,2.5,,38,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
organic search engine optimization tips,种子词拓展,350,27,,,54,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to develop seo strategy,种子词拓展,350,26,0.9,,77,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
improve search engine position,种子词拓展,350,24,4.5,,77.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
popular seo tools,种子词拓展,350,24,4,,39.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo oriented content,种子词拓展,350,24,,,42.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
cool seo,种子词拓展,350,22,,,0.5,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
profile seo,种子词拓展,350,23,4.5,,57,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
comprehensive website audit,种子词拓展,350,28,12,,47,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
how can seo help my business,种子词拓展,350,28,4.5,,53,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo diy guide,种子词拓展,350,24,0.25,,51,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,startup_diy_seo
diy seo optimization,种子词拓展,350,24,1.7,,69.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,startup_diy_seo
international seo tracking,种子词拓展,300,20,,,49.5,❌强,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
seo software tools list,种子词拓展,300,29,,,68.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo titles and descriptions,种子词拓展,300,25,0.45,,65,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
ahrefs audit part of website,种子词拓展,300,20,,,73.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
scalable seo software,种子词拓展,300,23,4.5,,55,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
search engine optimization placement,种子词拓展,300,22,,,46,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
compare seo tools,种子词拓展,300,24,4,,67,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
must have seo tools,种子词拓展,300,25,10,,57.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
steps to improve seo,种子词拓展,300,30,1.6,,65.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
diy seo course,种子词拓展,300,21,2.5,,24,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,startup_diy_seo
how do i improve my seo,种子词拓展,300,30,2.5,,82,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo designer,种子词拓展,300,25,4.5,,48.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
keyword strategy seo,种子词拓展,300,22,3,,66.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
where to put seo keywords,种子词拓展,300,23,1,,54,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
moz create account,种子词拓展,300,26,7,,91,✅弱,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,seo_tools_comparison
seo audit guide,种子词拓展,300,29,6,,70,❌强,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,technical_seo_audit
seranking what is moz ranking,种子词拓展,300,29,,,76,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
auto seo service,种子词拓展,300,25,0.8,,49.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,ai_seo_automation
se ranking lifetime deal,种子词拓展,250,25,2,,26.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo optimized websites,种子词拓展,250,21,4,,45,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
